,l,ls,epi,smt,para,i
359,0.4060987237525793,0.0003918064835697313,14,24,7,37
360,0.4461487424307165,0.00023269206003884702,15,1,1,11
361,0.4268715616934752,0.0003112703516252265,15,2,2,12
362,0.4185423680844537,0.00019232660676937543,15,3,3,13
363,0.4210763625102317,0.00019706415034116166,15,4,4,14
364,0.4103709141780113,0.0001470215640855767,15,5,5,15
365,0.406161905604339,0.0002096539376845995,15,6,6,16
366,0.414667241056601,0.00017623559977879353,15,7,7,17
367,0.4021456956961501,0.0002595949990358105,15,8,8,18
368,0.4050218644325148,0.00034362707602311206,15,9,9,19
369,0.4355803435055152,0.00021766717054293923,15,10,1,21
370,0.4189976421821519,0.00028641573259040543,15,11,2,22
371,0.4007056864072249,0.00016356717452350973,15,12,3,23
372,0.41043053403516855,0.0004082551631185788,15,13,4,24
373,0.4035513984233287,0.00021036033169926212,15,14,5,25
374,0.40196972031642697,0.0002238971481695376,15,15,6,26
375,0.3986131803064973,0.00014593743636103114,15,16,7,27
376,0.4095773381752251,0.000136171187545336,15,17,8,28
377,0.4330350600701473,0.00019251159800283784,15,18,1,31
378,0.4131949577327375,0.00016696401639495595,15,19,2,32
379,0.4068087783470218,0.00022521682152053707,15,20,3,33
380,0.4227077449799091,0.00026347830745999045,15,21,4,34
381,0.4093530689162577,0.00032202619323185694,15,22,5,35
382,0.3981158515017384,0.00013160988880570078,15,23,6,36
383,0.4050970119998147,0.00010684701329062785,15,24,7,37
384,0.44946601824301147,0.00029751754915711905,16,1,1,11
385,0.41813885549227375,0.0002423149001119275,16,2,2,12
386,0.4123541565057186,0.0002020930076277441,16,3,3,13
387,0.4150050618002361,0.0001836060192642496,16,4,4,14
388,0.41498239552770816,0.0001417759496359545,16,5,5,15
389,0.41368166362415976,0.00018685821705521747,16,6,6,16
390,0.4160547211870177,0.0002531930955679241,16,7,7,17
391,0.4026115369781321,0.00020332526961404704,16,8,8,18
392,0.4096698285875916,0.0004392769515916073,16,9,9,19
393,0.4399061358929911,0.0002267424064774145,16,10,1,21
394,0.4175661366414449,0.00022266567133567207,16,11,2,22
395,0.4111037116940545,0.00015299224410220892,16,12,3,23
396,0.4089999193798936,0.00032326481589122787,16,13,4,24
397,0.4028998521786932,0.00011218918522808433,16,14,5,25
398,0.4082970644047284,0.00013938390290031178,16,15,6,26
399,0.4063282031705707,0.00020326104172627244,16,16,7,27
400,0.4100677057741409,0.000489675250451621,16,17,8,28
401,0.4367911743700779,0.00012207891065060792,16,18,1,31
402,0.41250967820528267,0.00021430121158243416,16,19,2,32
403,0.4048592055074369,0.0002463263997289214,16,20,3,33
404,0.41109760942420703,0.0005818148798029097,16,21,4,34
405,0.4011834636922225,0.00012041235864230215,16,22,5,35
406,0.4030729996247955,0.0001123291083816485,16,23,6,36
407,0.4047958580818428,0.000442013534921577,16,24,7,37
408,0.4518688260901737,0.00010146940428903361,17,1,1,11
409,0.4314474177182631,0.00017569705000271458,17,2,2,12
410,0.4160256981513493,0.00018770436004600288,17,3,3,13
411,0.41575762423010665,0.00028133457892612205,17,4,4,14
412,0.4063863218655453,0.0002219021250502292,17,5,5,15
413,0.4067700652870559,0.00028938771248699583,17,6,6,16
414,0.4118347342914759,0.0002915538392001872,17,7,7,17
415,0.42202718883975,0.000451245269629685,17,8,8,18
416,0.4191725200332878,0.00044768851192410783,17,9,9,19
417,0.4407565365995978,0.00030866580729128613,17,10,1,21
418,0.4188199213891732,0.000203785078394104,17,11,2,22
419,0.4084860792675938,0.0003375220580438225,17,12,3,23
420,0.403038867561576,0.00031673337379393545,17,13,4,24
421,0.4035984216253466,0.0002203599222288729,17,14,5,25
422,0.4073246532984793,0.00018922080982351622,17,15,6,26
423,0.3947590232368334,0.000191587633825388,17,16,7,27
424,0.3967698274641479,0.0002532121561737189,17,17,8,28
425,0.4362750711037024,0.00026632785893429447,17,18,1,31
426,0.4182557518513789,0.0001865958721485221,17,19,2,32
427,0.4095718101625112,0.0002957784396743382,17,20,3,33
428,0.4091919800174719,0.00022053010741831063,17,21,4,34
429,0.4006988422263953,0.00022757277942284126,17,22,5,35
430,0.3982401941535117,0.0007809335252328898,17,23,6,36
431,0.3950825825682626,0.00048543582971238397,17,24,7,37
432,0.4394015575534688,0.00015265755857504746,18,1,1,11
433,0.4276244191521528,0.00022936737441979786,18,2,2,12
434,0.4228214197834612,0.00018661276405670404,18,3,3,13
435,0.41835096356011264,0.0001943027683358349,18,4,4,14
436,0.4022415738327052,0.00018039863352760084,18,5,5,15
437,0.4100450649087109,0.0002223823437266624,18,6,6,16
438,0.404479797628147,0.0002457586664588156,18,7,7,17
439,0.4089451314871288,0.00026813249813739594,18,8,8,18
440,0.4025392269104506,0.0001773145072676999,18,9,9,19
441,0.4343340925157452,0.00018832020191477216,18,10,1,21
442,0.4160428891302489,0.00017338286538062038,18,11,2,22
443,0.41671544387635256,0.00023878316923875927,18,12,3,23
444,0.4123624409309049,0.00033072407902665616,18,13,4,24
445,0.4035827352810825,0.00015982681799285228,18,14,5,25
446,0.4078398284518612,0.0004784262136715996,18,15,6,26
447,0.4071642413970205,0.000278384173225223,18,16,7,27
448,0.4031958348133135,0.000353825237581763,18,17,8,28
449,0.43165036180638106,0.0001026712971420886,18,18,1,31
450,0.4124314029848784,0.0003655037368547568,18,19,2,32
451,0.4110700062568168,0.0001958984640365924,18,20,3,33
452,0.40520417526685104,0.0003162388840330745,18,21,4,34
453,0.3969792529831955,0.0002303969526026413,18,22,5,35
454,0.4008758297498919,0.0001811172225989589,18,23,6,36
455,0.4022241099568253,0.00045600581594764094,18,24,7,37
456,0.4460532261031675,0.00014744250154829326,19,1,1,11
457,0.4240762368349639,0.00012742398045293422,19,2,2,12
458,0.4193907847768795,0.00022400175556316665,19,3,3,13
459,0.40471103453700064,0.00015322378724923582,19,4,4,14
460,0.4079989227186817,0.00024839288032250527,19,5,5,15
461,0.4130991075862425,0.0002205494957367858,19,6,6,16
462,0.4112820346602477,0.00025778380923834667,19,7,7,17
463,0.4141611613766321,0.00018360551072012788,19,8,8,18
464,0.4040588214508554,0.00015035732890827282,19,9,9,19
465,0.4406970478006448,0.00012149423676730659,19,10,1,21
466,0.4198073857537141,0.0002136994081430614,19,11,2,22
467,0.4108556600976376,0.0002682143897321967,19,12,3,23
468,0.4023972902512529,0.00037409212103012345,19,13,4,24
469,0.40338885991954976,0.00035003825136278725,19,14,5,25
470,0.3991220234775462,0.00032749539454685674,19,15,6,26
471,0.3991324217185271,0.0003274850871478818,19,16,7,27
472,0.410767810588563,0.00012191427390487246,19,17,8,28
473,0.4380385942246505,0.00024367641121583608,19,18,1,31
474,0.4213056087250868,0.0001129970098749416,19,19,2,32
475,0.4015950911013853,0.0001980079892465356,19,20,3,33
476,0.4009307996186417,0.00011010644878022792,19,21,4,34
477,0.41567944653577343,0.00017761116168066597,19,22,5,35
478,0.4057398945900729,0.00013414829848434356,19,23,6,36
